#,氏名,月,売上(万円),経過月数
1,AA,17-Aug,296,4
2,BB,17-Aug,261,27
3,CC,17-Aug,245,4
4,DD,17-Aug,212,7
5,EE,17-Aug,209,6
6,FF,17-Aug,208,16
7,G,17-Aug,200,4
8,H,17-Aug,199,10
9,I,17-Aug,170,16
10,J,17-Aug,168,7
11,K,17-Aug,165,4
12,L,17-Aug,164,16
13,M,17-Aug,162,5
14,N,17-Aug,162,3
15,O,17-Aug,159,4
16,P,17-Aug,157,7
17,Q,17-Aug,151,10
18,R,17-Aug,151,7
19,S,17-Aug,151,7
20,T,17-Aug,150,22
21,U,17-Aug,148,10
22,V,17-Aug,140,13
23,W,17-Aug,139,9
24,X,17-Aug,138,3
25,Y,17-Aug,134,4
26,Z,17-Aug,126,6
27,D,17-Aug,123,27
28,F,17-Aug,120,5
29,C,17-Aug,120,5
30,B,17-Aug,116,3
31,E,17-Aug,113,4
32,WW,17-Aug,108,6
33,XX,17-Aug,108,5
34,YY,17-Aug,100,4
35,ZZ,17-Aug,100,5
36,OOO,17-Aug,96,5
37,NNN,17-Aug,94,6
38,MMM,17-Aug,93,5
39,LLL,17-Aug,90,4
40,KKK,17-Aug,75,10
41,JJJ,17-Aug,70,4
42,III,17-Aug,68,6
43,GGG,17-Aug,65,3
44,HHH,17-Aug,60,4
45,GG,17-Aug,58,8
46,HH,17-Aug,57,2
47,II,17-Aug,54,4
48,JJ,17-Aug,51,3
49,KK,17-Aug,39,10
50,LL,17-Aug,25,4
51,MM,17-Aug,23,9
52,NN,17-Aug,22,23
53,OO,17-Aug,15,3
54,PP,17-Aug,15,7
55,QQ,17-Aug,14,1
56,RR,17-Aug,10,4
57,SS,17-Aug,0,6
58,TT,17-Aug,0,4
59,UU,17-Aug,0,2
60,VV,17-Aug,0,2
61,CCC,17-Aug,0,1
62,DDD,17-Aug,0,1
63,EEE,17-Aug,0,10
64,FFF,17-Aug,0,5
