surface,yomi,original,type,katsuyoukei,katsuyougata,内容
neologd,ネオログディー,NEologd,名詞-固有名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
_,_,_,記号-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
tagger,タガー,tagger,名詞-固有名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
.,.,.,記号-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
parse,パース,Parse,名詞-固有名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
(,(,(,記号-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
text,テクスト,text,名詞-固有名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
),),),記号-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
で,デ,で,助詞-格助詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
各,カク,各,接頭詞-名詞接続,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
単語,タンゴ,単語,名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
の,ノ,の,助詞-連体化,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
原形,ゲンケイ,原形,名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
、,、,、,記号-読点,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
品詞,ヒンシ,品詞,名詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
など,ナド,など,助詞-副助詞,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
が,ガ,が,助詞-格助詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
1,1,1,名詞-数,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
行,コウ,行,名詞-接尾-助数詞,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
で,デ,で,助詞-格助詞-一般,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
連続,レンゾク,連続,名詞-サ変接続,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
し,シ,する,動詞-自立,サ変・スル,連用形,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
て,テ,て,助詞-接続助詞,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
表示,ヒョウジ,表示,名詞-サ変接続,,,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
さ,サ,する,動詞-自立,サ変・スル,未然レル接続,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
れる,レル,れる,動詞-接尾,一段,基本形,neologd_tagger.parse(text)で各単語の原形、品詞などが1行で連続して表示される
原形,ゲンケイ,原形,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
、,、,、,記号-読点,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
