text,posi_nega
案件個別の技術相談乗ってます！乗ります,1
勉強とお仕事が有機的に繋がっていて面白い。,1
次々とテクニックを教えていただき、ためになりました,1
お肉がキレイに焼けたことに小さなしあわせを感じた,1
これが私の最適化,1
データの抽出やグラフ化も、問題なさそう。,1
PC復帰するまでみんなの日報読んでコメントしてスッキリする。,1
久々に新卒が自社にまあまあいて嬉しかった,1
おでんが美味しい季節だなぁ,1
昼飯には少し割高な値段であったが満足感があった。,1
10歳以上若い判定,1
2週連続での出展お疲れ様でした,1
ご参加いただいた皆様、助けていただいた皆様ありがとうございました,1
無事に終えることができました,1
これもひとえにご協力いただいた皆様のおかげです,1
本当にありがとうございました,1
本を読んでるけどモデルとして取り上げてる会社やサービスのビジネスモデルとか歴史も軽く紹介してくれるのでとてもおもしろい,1
ベイズ統計モデリングのことを色々教わる。有難うございます,1
休日のオフィスに初めて出社しましたが、この静かさ、とても良い。,1
すごいいい話聞いてる気がする,1
正直精度自体はよくなかった,0
常駐先上長のメンタルが辛そう。,0
どう考えても期日までに間に合わない,0
打ち合わせ中ずっと体調が悪かった...,0
結局、僕の凡ミスが原因でした・・・,0
行くっていったけど家を出たくない,0
仲悪いのかしら・・・。って思うようなやり取りだったけど、みんな大丈夫？元気？,0
変化があると言われていた気がするけど、変わっているように見えない。期待して損した,0
ドローンだったら人間にも出来ない事が何でも出来るかのように宣伝してるヤツいるけど、そういうのマジで迷惑なんすよ,0
案件によって業務内容もかなり変わってくると思うので統一した評価基準を用意するのは難しいかもしれませんが…,0
良い子はこういう大人になっていはいけない。,0
先月くらいから案件の継続確認が全然出来てない。月末にイレギュラーが多いのか、単純の業務量が増えてるからなのか…。,0
パワポ資料の作り方について、対象や意図が不明瞭であった,0
夕方ごろに検証用コードにミスを見つけてしまう。,0
目的変数と説明変数の相関を見てもことごとく低い気がする。,0
自分がクソすぎて悲しい、、作業する前にもっと考える時間とってきちんと整理してまとめたほうがいいなという反省。,0
大元がこれの倍以上と思うと発狂する,0
ずっと気になってたパンを食べたけどあんまりおいしくなくてしょんぼり,0
先方の担当者が上にどう報告しようか悩んでいた。,0
担当部署さん、部署内情報共有がほとんど出来ていない,0
半年で信頼はかなり得ることができたなと感じた。,1
便利なブックマークが増えてきて嬉しい。,1
技術的に興味あるから嬉しいし、それを取り入れる事になれば〆切が伸びるかもなので嬉しい。,1
上司から直接お褒めの言葉を頂けてとても嬉しかった,1
たくさんの方に支えて頂いたおかげで、社会人として充実した時間を過ごすことが出来ました。,1
今日はお勉強の時間取れなかった。,0
何を考えているか本当にわからないところが怖い,0
ストレスを溜めないようにするにはどうすればいいのか悩む。,0
確認不足によりご迷惑をおかけし大変申し訳ございません。,0
これまでのがんばりが否定されたような気分です,0
